--- mnist ---
[0, 0, 0, 0, 0, 0, 0, 0, 2000]
[0, 0, 15, 39, 84, 161, 307, 540, 854]
[8, 55, 204, 370, 455, 440, 282, 152, 34]
[138, 441, 557, 457, 262, 109, 25, 7, 4]
[1233, 623, 128, 15, 1, 0, 0, 0, 0]
[1714, 268, 17, 1, 0, 0, 0, 0, 0]
[2000, 0, 0, 0, 0, 0, 0, 0, 0]
--- f_mnist ---
[0, 0, 0, 0, 0, 0, 0, 0, 2000]
[0, 3, 19, 65, 155, 279, 384, 535, 560]
[1, 22, 84, 308, 466, 572, 395, 128, 24]
[67, 241, 536, 664, 298, 150, 38, 5, 1]
[997, 759, 202, 39, 3, 0, 0, 0, 0]
[1653, 309, 36, 2, 0, 0, 0, 0, 0]
[2000, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 2000]
[0, 0, 15, 39, 84, 161, 307, 540, 854]
[8, 55, 204, 370, 455, 440, 282, 152, 34]
[138, 441, 557, 457, 262, 109, 25, 7, 4]
[1233, 623, 128, 15, 1, 0, 0, 0, 0]
[1714, 268, 17, 1, 0, 0, 0, 0, 0]
[2000, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 2000]
[0, 3, 19, 65, 155, 279, 384, 535, 560]
[1, 22, 84, 308, 466, 572, 395, 128, 24]
[67, 241, 536, 664, 298, 150, 38, 5, 1]
[997, 759, 202, 39, 3, 0, 0, 0, 0]
[1653, 309, 36, 2, 0, 0, 0, 0, 0]
[2000, 0, 0, 0, 0, 0, 0, 0, 0]
